station_id,brand_id,town,postcode,lat,lon
RO.1580.8,PETROM,Sebes,515800,45.95506,23.57828
RO.1582.8,PETROM,Cugir,515600,45.84888,23.36084
RO.1587.8,PETROM,Oradea,410605,47.07541,21.90421
RO.1588.8,OMV,Oradea,410553,47.04103,21.97519
RO.1590.8,PETROM,Oradea,410067,47.05108,21.93441
RO.1591.8,PETROM,Oradea,410009,47.06557,21.92886
RO.1593.8,PETROM,Bors,417075,47.11758,21.79765
RO.1594.8,PETROM,Bors,417075,47.11673,21.79806
RO.1596.8,OMV,Alesd,415100,47.05958,22.38254
RO.1597.8,PETROM,Beius,415200,46.66959,22.33642
RO.1600.8,PETROM,Valea lui Mihai,415700,47.51457,22.13739
RO.1601.8,OMV,Salonta,415500,46.80342,21.64765
RO.1602.8,PETROM,Vascau,415800,46.46861,22.48438
RO.1604.8,OMV,Zalau,450135,47.19815,23.05816
RO.1605.8,PETROM,Zalau,450067,47.18974,23.06498
RO.1606.8,PETROM,Simleu Silvaniei,455300,47.2297,22.8146
RO.1607.8,PETROM,Jibou,455200,47.25725,23.25621
RO.1608.8,PETROM,Cehu Silvaniei,455100,47.40622,23.16237
RO.1609.8,PETROM,Ileanda,457190,47.33315,23.63305
RO.1610.8,PETROM,Crasna,457085,47.1629,22.8721
RO.1612.8,OMV,Sibiu,550331,45.78268,24.16573
RO.1613.8,PETROM,Sibiu,550089,45.81765,24.15012
RO.1614.8,PETROM,Sibiu,550052,45.79276,24.13308
RO.1618.8,PETROM,Com. Selimbar,557263,45.6999,24.2497
RO.1619.8,PETROM,Agnita,555100,45.98276,24.64258
RO.1620.8,PETROM,Medias,551118,46.15228,24.33276
RO.1621.8,PETROM,Copsa Mica,555400,46.11435,24.23324
RO.1624.8,PETROM,Baia Mare,430231,47.64521,23.57082
RO.1625.8,OMV,Baia Mare,430013,47.64604,23.53238
RO.1626.8,PETROM,Baia Mare,430322,47.66291,23.58324
RO.1627.8,PETROM,Baia Mare,430341,47.66315,23.60688
RO.1630.8,PETROM,Targu Lapus,435600,47.4554,23.84017
RO.1632.8,PETROM,Tauti Magheraus,437345,47.67189,23.42379
RO.1634.8,PETROM,Sighetu Marmatiei,435500,47.92152,23.91211
RO.1636.8,PETROM,Viseu de Sus,435700,47.69165,24.44784
RO.1637.8,OMV,Borsa,435200,47.64993,24.68688
RO.1638.8,PETROM,Satu Mare,440101,47.79836,22.89931
RO.1639.8,PETROM,Negresti Oas,445200,47.86021,23.41633
RO.1640.8,PETROM,Satu Mare,440075,47.80523,22.88631
RO.1641.8,PETROM,Satu Mare,440217,47.78178,22.87629
RO.1642.8,OMV,Satu Mare,440237,47.76279,22.88304
RO.1643.8,PETROM,Satu Mare,440061,47.79809,22.8659
RO.1644.8,OMV,Satu Mare,440110,47.80781,22.91633
RO.1645.8,PETROM,"Sat Iojib, Com. Mediesu Aurit",447187,47.80412,23.16752
RO.1646.8,PETROM,Petea,447133,47.85062,22.78329
RO.1649.8,PETROM,Livada,447180,47.8701,23.0988
RO.1651.8,PETROM,Carei,445100,47.67844,22.46471
RO.1652.8,PETROM,Tasnad,445300,47.48777,22.57611
RO.1653.8,OMV,Giurgiu,080307,43.91852,25.97298
RO.1656.8,PETROM,Giurgiu,80307,43.90571,25.97139
RO.1657.8,PETROM,Com. Ghimpati,87095,44.20418,25.79154
RO.1659.8,PETROM,Giurgiu,80196,43.90817,25.98629
RO.1660.8,PETROM,Giurgiu,80196,43.90768,25.98569
RO.1666.8,OMV,Constanta,900111,44.1578,28.6282
RO.1667.8,PETROM,Constanta,900497,44.20399,28.62072
RO.1668.8,PETROM,Constanta,900552,44.21305,28.64215
RO.1669.8,PETROM,Eforie Nord,905350,44.0727,28.62815
RO.1670.8,PETROM,Constanta,900330,44.20463,28.6114
RO.1671.8,OMV,Constanta,900463,44.21675,28.62716
RO.1673.8,PETROM,Constanta,900316,44.16867,28.57397
RO.1674.8,PETROM,Medgidia,905600,44.26575,28.25772
RO.1675.8,PETROM,Cernavoda,905200,44.34096,28.03201
RO.1677.8,PETROM,Baneasa,907035,44.068600000000004,27.6932
RO.1678.8,OMV,Hirsova,905400,44.69077,27.96831
RO.1679.8,PETROM,Mangalia,905500,43.8181,28.5831
RO.1681.8,PETROM,Neptun,905550,43.86156,28.57527
RO.1682.8,PETROM,Negru Voda,905800,43.8218,28.2178
RO.1683.8,OMV,Alexandria,140057,43.977214,25.332378
RO.1685.8,OMV,Otopeni,075100,44.527,26.04095
RO.1686.8,OMV,Bucuresti,013603,44.53129,26.05719
RO.1688.8,PETROM,"com. Albota, sat Albota",117030,44.8192,24.8745
RO.1696.8,OMV,Strehaia,225300,44.61858,23.22566
RO.1710.8,PETROM,Julita,317382,46.02409,22.13595
RO.1722.8,OMV,Focsani,620177,45.67805,27.18846
RO.1729.8,OMV,Pitesti,110101,44.88224,24.83389
RO.1730.8,OMV,Constanta,900581,44.21445,28.64259
RO.1733.8,PETROM,Siret,725500,47.98207,26.06365
RO.1734.8,PETROM,Com. Poiana Teiului,617340,47.09188,25.95652
RO.1738.8,PETROM,Deva,330182,45.88486,22.90837
RO.1739.8,PETROM,Timisoara,300516,45.71827,21.19604
RO.1740.8,PETROM,Timisoara,300642,45.76788,21.22188
RO.1742.8,PETROM,Alba Iulia,510164,46.05739,23.57356
RO.1743.8,PETROM,Sibiu,550018,45.79359,24.13015
RO.1744.8,PETROM,Com. Afumati,77010,44.500737,26.20863
RO.1745.8,PETROM,Bucuresti,061444,44.4191,26.03498
RO.1747.8,PETROM,Bucuresti,31282,44.42079,26.12573
RO.1748.8,PETROM,Bucuresti,22317,44.46624,26.1475
RO.1749.8,PETROM,Bucuresti,51856,44.40774,26.07802
RO.1750.8,PETROM,Bucuresti,60783,44.44392,26.03607
RO.1751.8,PETROM,Bucuresti,41451,44.39142,26.1096
RO.1752.8,PETROM,Bucuresti,30507,44.43654,26.16919
RO.1754.8,PETROM,Bucuresti,30441,44.4143,26.16378
RO.1755.8,PETROM,Bucuresti,61328,44.42854,26.04608
RO.1756.8,OMV,Bucuresti,30335,44.4113,26.12737
RO.1757.8,PETROM,Bucuresti,50883,44.42102,26.07473
RO.1758.8,PETROM,Bacau,600178,46.55021,26.92189
RO.1760.8,PETROM,Constanta,900082,44.14333,28.62362
RO.1761.8,PETROM,Constanta,900553,44.20277,28.63438
RO.1762.8,PETROM,Baia Mare,430171,47.64952,23.54973
RO.1763.8,PETROM,Satu Mare,440157,47.78434,22.85304
RO.1765.8,PETROM,Oradea,410140,47.08751,21.91273
RO.1766.8,PETROM,Brasov,500299,45.63324,25.6345
RO.1767.8,PETROM,Craiova,200746,44.29899,23.83149
RO.1770.8,OMV,Predeal,505300,45.47953,25.56467
RO.1777.8,PETROM,Piatra Neamt,610201,46.89979,26.41671
RO.1778.8,OMV,Otopeni,075100,44.53929,26.09512
RO.1779.8,PETROM,Com. Afumati,77010,44.50536,26.21743
RO.1780.8,OMV,Com. Balotesti,077015,44.59354,26.07059
RO.1782.8,PETROM,Oarda,510003,46.03285,23.55363
RO.1783.8,OMV,Com. Albota,117030,44.79177,24.8589
