station_id,country_iso,town,postcode,lat,lon,fuel,price_eur,raw_line,ocr_text_path,response_path,scraped_at
AT.8769.8,AUT,Sankt Pölten,3100,48.20673,15.64125,DIESEL,1.491,DIESEL 1.491 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8769.8_2025-09-10_09-31-55.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8769.8_2025-09-10_09-31-55.json,2025-09-09T23:31:55Z
AT.8769.8,AUT,Sankt Pölten,3100,48.20673,15.64125,SUPER 95,1.471,SUPER 95 1.471 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8769.8_2025-09-10_09-31-55.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8769.8_2025-09-10_09-31-55.json,2025-09-09T23:31:55Z
AT.8771.8,AUT,Vösendorf,2331,48.13078,16.32632,DIESEL,1.467,DIESEL 1.467 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8771.8_2025-09-10_09-31-56.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8771.8_2025-09-10_09-31-56.json,2025-09-09T23:31:56Z
AT.8771.8,AUT,Vösendorf,2331,48.13078,16.32632,Diesel Plus,1.679,Diesel Plus 1.679 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8771.8_2025-09-10_09-31-56.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8771.8_2025-09-10_09-31-56.json,2025-09-09T23:31:56Z
AT.8771.8,AUT,Vösendorf,2331,48.13078,16.32632,SUPER 95,1.452,SUPER 95 1.452 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8771.8_2025-09-10_09-31-56.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8771.8_2025-09-10_09-31-56.json,2025-09-09T23:31:56Z
AT.8772.8,AUT,Wiener Neustadt,2700,47.8065,16.20603,DIESEL,1.512,DIESEL 1.512 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8772.8_2025-09-10_09-31-57.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8772.8_2025-09-10_09-31-57.json,2025-09-09T23:31:57Z
AT.8772.8,AUT,Wiener Neustadt,2700,47.8065,16.20603,Premium Power Diesel,1.729,Premium Power Diesel 1.729 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8772.8_2025-09-10_09-31-57.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8772.8_2025-09-10_09-31-57.json,2025-09-09T23:31:57Z
AT.8772.8,AUT,Wiener Neustadt,2700,47.8065,16.20603,SUPER 95,1.484,SUPER 95 1.484 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8772.8_2025-09-10_09-31-57.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8772.8_2025-09-10_09-31-57.json,2025-09-09T23:31:57Z
AT.8775.8,AUT,Zwölfaxing,2324,48.1162,16.46643,DIESEL,1.496,DIESEL 1.496 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8775.8_2025-09-10_09-31-57.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8775.8_2025-09-10_09-31-57.json,2025-09-09T23:31:58Z
AT.8775.8,AUT,Zwölfaxing,2324,48.1162,16.46643,SUPER 95,1.476,SUPER 95 1.476 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8775.8_2025-09-10_09-31-57.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8775.8_2025-09-10_09-31-57.json,2025-09-09T23:31:58Z
AT.8776.8,AUT,Ybbs,3370,48.17039,15.08587,DIESEL,1.453,DIESEL 1.453 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8776.8_2025-09-10_09-31-58.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8776.8_2025-09-10_09-31-58.json,2025-09-09T23:31:59Z
AT.8776.8,AUT,Ybbs,3370,48.17039,15.08587,SUPER 95,1.449,SUPER 95 1.449 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.8776.8_2025-09-10_09-31-58.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.8776.8_2025-09-10_09-31-58.json,2025-09-09T23:31:59Z
AT.9003.8,AUT,Amstetten,3300,48.12263,14.88932,DIESEL,1.502,DIESEL 1.502 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9003.8_2025-09-10_09-31-59.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9003.8_2025-09-10_09-31-59.json,2025-09-09T23:31:59Z
AT.9003.8,AUT,Amstetten,3300,48.12263,14.88932,SUPER 95,1.484,SUPER 95 1.484 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9003.8_2025-09-10_09-31-59.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9003.8_2025-09-10_09-31-59.json,2025-09-09T23:31:59Z
AT.9006.8,AUT,Hornstein,7053,47.87799,16.41503,DIESEL,1.999,DIESEL 1.999 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9006.8_2025-09-10_09-32-00.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9006.8_2025-09-10_09-32-00.json,2025-09-09T23:32:00Z
AT.9006.8,AUT,Hornstein,7053,47.87799,16.41503,OMV AdBlue,1.399,OMV AdBlue 1.399 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9006.8_2025-09-10_09-32-00.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9006.8_2025-09-10_09-32-00.json,2025-09-09T23:32:00Z
AT.9006.8,AUT,Hornstein,7053,47.87799,16.41503,SUPER 95,1.999,SUPER 95 1.999 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9006.8_2025-09-10_09-32-00.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9006.8_2025-09-10_09-32-00.json,2025-09-09T23:32:00Z
AT.9006.8,AUT,Hornstein,7053,47.87799,16.41503,MaxxMotion Super 100plus,2.259,MaxxMotion Super 100plus 2.259 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9006.8_2025-09-10_09-32-00.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9006.8_2025-09-10_09-32-00.json,2025-09-09T23:32:00Z
AT.9006.8,AUT,Hornstein,7053,47.87799,16.41503,MaxxMotion Diesel,2.259,MaxxMotion Diesel 2.259 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9006.8_2025-09-10_09-32-00.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9006.8_2025-09-10_09-32-00.json,2025-09-09T23:32:00Z
AT.9007.8,AUT,Neusiedl am See,7100,47.97359,16.84885,DIESEL,1.609,DIESEL 1.609 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9007.8_2025-09-10_09-32-01.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9007.8_2025-09-10_09-32-01.json,2025-09-09T23:32:01Z
AT.9007.8,AUT,Neusiedl am See,7100,47.97359,16.84885,OMV AdBlue,1.399,OMV AdBlue 1.399 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9007.8_2025-09-10_09-32-01.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9007.8_2025-09-10_09-32-01.json,2025-09-09T23:32:01Z
AT.9007.8,AUT,Neusiedl am See,7100,47.97359,16.84885,SUPER 95,1.589,SUPER 95 1.589 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9007.8_2025-09-10_09-32-01.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9007.8_2025-09-10_09-32-01.json,2025-09-09T23:32:01Z
AT.9007.8,AUT,Neusiedl am See,7100,47.97359,16.84885,MaxxMotion Super 100plus,1.849,MaxxMotion Super 100plus 1.849 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9007.8_2025-09-10_09-32-01.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9007.8_2025-09-10_09-32-01.json,2025-09-09T23:32:01Z
AT.9007.8,AUT,Neusiedl am See,7100,47.97359,16.84885,MaxxMotion Diesel,1.869,MaxxMotion Diesel 1.869 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9007.8_2025-09-10_09-32-01.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9007.8_2025-09-10_09-32-01.json,2025-09-09T23:32:01Z
AT.9018.8,AUT,Eisenstadt,7000,47.825,16.5319,DIESEL,1.474,DIESEL 1.474 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9018.8_2025-09-10_09-32-01.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9018.8_2025-09-10_09-32-01.json,2025-09-09T23:32:02Z
AT.9018.8,AUT,Eisenstadt,7000,47.825,16.5319,SUPER 95,1.464,SUPER 95 1.464 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9018.8_2025-09-10_09-32-01.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9018.8_2025-09-10_09-32-01.json,2025-09-09T23:32:02Z
AT.9019.8,AUT,Parndorf,7111,47.9806,16.8541,DIESEL,1.534,DIESEL 1.534 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9019.8_2025-09-10_09-32-02.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9019.8_2025-09-10_09-32-02.json,2025-09-09T23:32:03Z
AT.9019.8,AUT,Parndorf,7111,47.9806,16.8541,SUPER 95,1.514,SUPER 95 1.514 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9019.8_2025-09-10_09-32-02.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9019.8_2025-09-10_09-32-02.json,2025-09-09T23:32:03Z
AT.9020.8,AUT,Mattersburg,7210,47.73,16.4127,DIESEL,1.498,DIESEL 1.498 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9020.8_2025-09-10_09-32-03.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9020.8_2025-09-10_09-32-03.json,2025-09-09T23:32:03Z
AT.9020.8,AUT,Mattersburg,7210,47.73,16.4127,SUPER 95,1.483,SUPER 95 1.483 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9020.8_2025-09-10_09-32-03.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9020.8_2025-09-10_09-32-03.json,2025-09-09T23:32:03Z
AT.9021.8,AUT,Stoob,7344,47.51454,16.48747,DIESEL,1.475,DIESEL 1.475 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9021.8_2025-09-10_09-32-04.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9021.8_2025-09-10_09-32-04.json,2025-09-09T23:32:04Z
AT.9021.8,AUT,Stoob,7344,47.51454,16.48747,SUPER 95,1.475,SUPER 95 1.475 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9021.8_2025-09-10_09-32-04.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9021.8_2025-09-10_09-32-04.json,2025-09-09T23:32:04Z
AT.9041.8,AUT,Kirchschlag/Bucklige Welt,2860,47.49879,16.28993,SUPER 95,1.508,SUPER 95 1.508 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9041.8_2025-09-10_09-32-04.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9041.8_2025-09-10_09-32-04.json,2025-09-09T23:32:05Z
AT.9041.8,AUT,Kirchschlag/Bucklige Welt,2860,47.49879,16.28993,MaxxMotion Super 100plus,1.769,MaxxMotion Super 100plus 1.769 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9041.8_2025-09-10_09-32-04.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9041.8_2025-09-10_09-32-04.json,2025-09-09T23:32:05Z
AT.9143.8,AUT,Mitterau,3385,48.1976,15.483459999999999,DIESEL,1.539,DIESEL 1.539 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9143.8_2025-09-10_09-32-05.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9143.8_2025-09-10_09-32-05.json,2025-09-09T23:32:06Z
AT.9143.8,AUT,Mitterau,3385,48.1976,15.483459999999999,SUPER 95,1.529,SUPER 95 1.529 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9143.8_2025-09-10_09-32-05.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9143.8_2025-09-10_09-32-05.json,2025-09-09T23:32:06Z
AT.9503.8,AUT,Wiener Neustadt,2700,47.8047,16.26798,DIESEL,1.569,DIESEL 1.569 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9503.8_2025-09-10_09-32-06.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9503.8_2025-09-10_09-32-06.json,2025-09-09T23:32:06Z
AT.9503.8,AUT,Wiener Neustadt,2700,47.8047,16.26798,SUPER 95,1.549,SUPER 95 1.549 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9503.8_2025-09-10_09-32-06.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9503.8_2025-09-10_09-32-06.json,2025-09-09T23:32:06Z
AT.9503.8,AUT,Wiener Neustadt,2700,47.8047,16.26798,MaxxMotion Super 100plus,1.809,MaxxMotion Super 100plus 1.809 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9503.8_2025-09-10_09-32-06.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9503.8_2025-09-10_09-32-06.json,2025-09-09T23:32:06Z
AT.9503.8,AUT,Wiener Neustadt,2700,47.8047,16.26798,MaxxMotion Diesel,1.829,MaxxMotion Diesel 1.829 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9503.8_2025-09-10_09-32-06.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9503.8_2025-09-10_09-32-06.json,2025-09-09T23:32:06Z
AT.9505.8,AUT,Hainfeld,3170,48.03366,15.77878,DIESEL,1.499,DIESEL 1.499 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9505.8_2025-09-10_09-32-07.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9505.8_2025-09-10_09-32-07.json,2025-09-09T23:32:07Z
AT.9505.8,AUT,Hainfeld,3170,48.03366,15.77878,SUPER 95,1.489,SUPER 95 1.489 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9505.8_2025-09-10_09-32-07.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9505.8_2025-09-10_09-32-07.json,2025-09-09T23:32:07Z
AT.9506.8,AUT,Pottendorf,2486,47.91283,16.38632,DIESEL,1.538,DIESEL 1.538 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9506.8_2025-09-10_09-32-08.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9506.8_2025-09-10_09-32-08.json,2025-09-09T23:32:08Z
AT.9506.8,AUT,Pottendorf,2486,47.91283,16.38632,SUPER 95,1.518,SUPER 95 1.518 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9506.8_2025-09-10_09-32-08.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9506.8_2025-09-10_09-32-08.json,2025-09-09T23:32:08Z
AT.9514.8,AUT,Ruprechtshofen,3244,48.13974,15.28193,DIESEL,1.528,DIESEL 1.528 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9514.8_2025-09-10_09-32-08.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9514.8_2025-09-10_09-32-08.json,2025-09-09T23:32:09Z
AT.9514.8,AUT,Ruprechtshofen,3244,48.13974,15.28193,SUPER 95,1.509,SUPER 95 1.509 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9514.8_2025-09-10_09-32-08.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9514.8_2025-09-10_09-32-08.json,2025-09-09T23:32:09Z
AT.9519.8,AUT,Hirtenberg,2552,47.93151,16.19569,DIESEL,1.519,DIESEL 1.519 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9519.8_2025-09-10_09-32-09.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9519.8_2025-09-10_09-32-09.json,2025-09-09T23:32:10Z
AT.9519.8,AUT,Hirtenberg,2552,47.93151,16.19569,OMV AdBlue,1.399,OMV AdBlue 1.399 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9519.8_2025-09-10_09-32-09.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9519.8_2025-09-10_09-32-09.json,2025-09-09T23:32:10Z
AT.9519.8,AUT,Hirtenberg,2552,47.93151,16.19569,SUPER 95,1.489,SUPER 95 1.489 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.9519.8_2025-09-10_09-32-09.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.9519.8_2025-09-10_09-32-09.json,2025-09-09T23:32:10Z
