station_id,country_iso,town,postcode,lat,lon,fuel,price_eur,raw_line,ocr_text_path,response_path,scraped_at
AT.3026.8,AUT,Leonding,4060,48.2717,14.2681,SUPER 95,1.484,SUPER 95 1.484 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3026.8_2025-09-02_11-08-23.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3026.8_2025-09-02_11-08-23.json,2025-09-02T01:08:23Z
AT.3027.8,AUT,Braunau,5280,48.2447,13.0487,DIESEL,1.474,DIESEL 1.474 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3027.8_2025-09-02_11-08-23.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3027.8_2025-09-02_11-08-23.json,2025-09-02T01:08:24Z
AT.3027.8,AUT,Braunau,5280,48.2447,13.0487,SUPER 95,1.469,SUPER 95 1.469 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3027.8_2025-09-02_11-08-23.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3027.8_2025-09-02_11-08-23.json,2025-09-02T01:08:24Z
AT.3028.8,AUT,Enns,4470,48.2162,14.458,DIESEL,1.454,DIESEL 1.454 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3028.8_2025-09-02_11-08-24.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3028.8_2025-09-02_11-08-24.json,2025-09-02T01:08:25Z
AT.3028.8,AUT,Enns,4470,48.2162,14.458,SUPER 95,1.444,SUPER 95 1.444 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3028.8_2025-09-02_11-08-24.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3028.8_2025-09-02_11-08-24.json,2025-09-02T01:08:25Z
AT.3029.8,AUT,Regau,4844,47.9824,13.6989,DIESEL,1.459,DIESEL 1.459 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3029.8_2025-09-02_11-08-25.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3029.8_2025-09-02_11-08-25.json,2025-09-02T01:08:26Z
AT.3029.8,AUT,Regau,4844,47.9824,13.6989,SUPER 95,1.459,SUPER 95 1.459 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3029.8_2025-09-02_11-08-25.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3029.8_2025-09-02_11-08-25.json,2025-09-02T01:08:26Z
AT.3030.8,AUT,Ried im Innkreis,4910,48.2072,13.4651,DIESEL,1.502,DIESEL 1.502 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3030.8_2025-09-02_11-08-26.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3030.8_2025-09-02_11-08-26.json,2025-09-02T01:08:26Z
AT.3030.8,AUT,Ried im Innkreis,4910,48.2072,13.4651,SUPER 95,1.472,SUPER 95 1.472 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3030.8_2025-09-02_11-08-26.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3030.8_2025-09-02_11-08-26.json,2025-09-02T01:08:26Z
AT.3031.8,AUT,Mondsee,5310,47.869,13.3247,DIESEL,1.501,DIESEL 1.501 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3031.8_2025-09-02_11-08-27.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3031.8_2025-09-02_11-08-27.json,2025-09-02T01:08:27Z
AT.3031.8,AUT,Mondsee,5310,47.869,13.3247,SUPER 95,1.493,SUPER 95 1.493 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3031.8_2025-09-02_11-08-27.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3031.8_2025-09-02_11-08-27.json,2025-09-02T01:08:27Z
AT.3033.8,AUT,Timelkam,4850,47.9978,13.6211,DIESEL,1.459,DIESEL 1.459 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3033.8_2025-09-02_11-08-28.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3033.8_2025-09-02_11-08-28.json,2025-09-02T01:08:28Z
AT.3033.8,AUT,Timelkam,4850,47.9978,13.6211,SUPER 95,1.459,SUPER 95 1.459 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3033.8_2025-09-02_11-08-28.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3033.8_2025-09-02_11-08-28.json,2025-09-02T01:08:28Z
AT.3034.8,AUT,Mauthausen,4310,48.2401,14.5312,DIESEL,1.449,DIESEL 1.449 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3034.8_2025-09-02_11-08-28.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3034.8_2025-09-02_11-08-28.json,2025-09-02T01:08:29Z
AT.3034.8,AUT,Mauthausen,4310,48.2401,14.5312,SUPER 95,1.439,SUPER 95 1.439 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3034.8_2025-09-02_11-08-28.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3034.8_2025-09-02_11-08-28.json,2025-09-02T01:08:29Z
AT.3035.8,AUT,St. Florian,4490,48.2274,14.3937,DIESEL,1.454,DIESEL 1.454 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3035.8_2025-09-02_11-08-29.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3035.8_2025-09-02_11-08-29.json,2025-09-02T01:08:30Z
AT.3035.8,AUT,St. Florian,4490,48.2274,14.3937,SUPER 95,1.444,SUPER 95 1.444 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3035.8_2025-09-02_11-08-29.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3035.8_2025-09-02_11-08-29.json,2025-09-02T01:08:30Z
AT.3036.8,AUT,Spittal an der Drau,9800,46.78724,13.51782,DIESEL,1.481,DIESEL 1.481 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3036.8_2025-09-02_11-08-30.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3036.8_2025-09-02_11-08-30.json,2025-09-02T01:08:30Z
AT.3036.8,AUT,Spittal an der Drau,9800,46.78724,13.51782,SUPER 95,1.474,SUPER 95 1.474 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3036.8_2025-09-02_11-08-30.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3036.8_2025-09-02_11-08-30.json,2025-09-02T01:08:30Z
AT.3037.8,AUT,Altenfelden i. Mkr.,4121,48.4971,13.96922,DIESEL,1.564,DIESEL 1.564 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3037.8_2025-09-02_11-08-31.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3037.8_2025-09-02_11-08-31.json,2025-09-02T01:08:31Z
AT.3037.8,AUT,Altenfelden i. Mkr.,4121,48.4971,13.96922,SUPER 95,1.529,SUPER 95 1.529 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3037.8_2025-09-02_11-08-31.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3037.8_2025-09-02_11-08-31.json,2025-09-02T01:08:31Z
AT.3038.8,AUT,Redlham,4846,48.04685,13.75945,DIESEL,1.468,DIESEL 1.468 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3038.8_2025-09-02_11-08-32.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3038.8_2025-09-02_11-08-32.json,2025-09-02T01:08:32Z
AT.3038.8,AUT,Redlham,4846,48.04685,13.75945,SUPER 95,1.468,SUPER 95 1.468 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3038.8_2025-09-02_11-08-32.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3038.8_2025-09-02_11-08-32.json,2025-09-02T01:08:32Z
AT.3040.8,AUT,Eggelsberg,5142,48.073152,12.990594,DIESEL,1.508,DIESEL 1.508 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3040.8_2025-09-02_11-08-32.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3040.8_2025-09-02_11-08-32.json,2025-09-02T01:08:33Z
AT.3040.8,AUT,Eggelsberg,5142,48.073152,12.990594,Diesel Plus,1.719,Diesel Plus 1.719 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3040.8_2025-09-02_11-08-32.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3040.8_2025-09-02_11-08-32.json,2025-09-02T01:08:33Z
AT.3040.8,AUT,Eggelsberg,5142,48.073152,12.990594,SUPER 95,1.508,SUPER 95 1.508 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3040.8_2025-09-02_11-08-32.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3040.8_2025-09-02_11-08-32.json,2025-09-02T01:08:33Z
AT.3102.8,AUT,Wels,4600,48.183554,14.025008,DIESEL,1.491,DIESEL 1.491 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3102.8_2025-09-02_11-08-34.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3102.8_2025-09-02_11-08-34.json,2025-09-02T01:08:35Z
AT.3102.8,AUT,Wels,4600,48.183554,14.025008,SUPER 95,1.479,SUPER 95 1.479 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3102.8_2025-09-02_11-08-34.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3102.8_2025-09-02_11-08-34.json,2025-09-02T01:08:35Z
AT.3110.8,AUT,Steyr,4400,48.04345,14.38747,DIESEL,1.463,DIESEL 1.463 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3110.8_2025-09-02_11-08-35.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3110.8_2025-09-02_11-08-35.json,2025-09-02T01:08:35Z
AT.3110.8,AUT,Steyr,4400,48.04345,14.38747,SUPER 95,1.448,SUPER 95 1.448 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3110.8_2025-09-02_11-08-35.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3110.8_2025-09-02_11-08-35.json,2025-09-02T01:08:35Z
AT.3333.8,AUT,Ort im Innkreis,4974,48.31724,13.42524,DIESEL,1.456,DIESEL 1.456 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3333.8_2025-09-02_11-08-36.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3333.8_2025-09-02_11-08-36.json,2025-09-02T01:08:36Z
AT.3333.8,AUT,Ort im Innkreis,4974,48.31724,13.42524,Premium Power Diesel,1.669,Premium Power Diesel 1.669 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3333.8_2025-09-02_11-08-36.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3333.8_2025-09-02_11-08-36.json,2025-09-02T01:08:36Z
AT.3333.8,AUT,Ort im Innkreis,4974,48.31724,13.42524,SUPER 95,1.484,SUPER 95 1.484 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3333.8_2025-09-02_11-08-36.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3333.8_2025-09-02_11-08-36.json,2025-09-02T01:08:36Z
AT.3504.8,AUT,Zwettl,4180,48.46445,14.27161,DIESEL,1.474,DIESEL 1.474 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3504.8_2025-09-02_11-08-37.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3504.8_2025-09-02_11-08-37.json,2025-09-02T01:08:37Z
AT.3504.8,AUT,Zwettl,4180,48.46445,14.27161,SUPER 95,1.494,SUPER 95 1.494 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3504.8_2025-09-02_11-08-37.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3504.8_2025-09-02_11-08-37.json,2025-09-02T01:08:37Z
