"unique_coord_key","lat_rounded","lon_rounded","source_count","sources","station_ids","station_names"
"46.6119995117188,14.3006000518799",46.6119995117188,14.3006000518799,3,"ARBÖ;ÖAMTC;JET","INFT-ATSHX3;1099199;ce2eb51b52","JET TANKSTELLE;JET;JET Tankstelle"
"46.6128005981445,14.6045999526978",46.6128005981445,14.6045999526978,2,"ARBÖ;ÖAMTC","INFT-AJJLBX;1209570","Turm<U+00F6>l;Turm<U+00F6>l"
"46.6133995056152,13.8380002975464",46.6133995056152,13.8380002975464,1,"ARBÖ","INFT-AJKA86","F. LEITNER - Spar Express"
"46.6137008666992,14.0357999801636",46.6137008666992,14.0357999801636,1,"ARBÖ","INFT-CCCDXQ","eni"
"46.6151008605957,14.5752000808716",46.6151008605957,14.5752000808716,2,"ARBÖ;ÖAMTC","INFT-DGFUAK;1214100","Turm<U+00F6>l Quick;Turm<U+00F6>l Quick"
"46.6167984008789,13.8791999816895",46.6167984008789,13.8791999816895,1,"ARBÖ","INFT-AJJL5A","Lagerhaus"
"46.6178016662598,13.8606004714966",46.6178016662598,13.8606004714966,1,"ARBÖ","INFT-CCC3DV","eni"
"46.6178016662598,13.9562997817993",46.6178016662598,13.9562997817993,1,"ARBÖ","INFT-AJJL4Z","AVANTI - Wernberg Bundesstra<U+00DF>e 23"
"46.6180000305176,14.0502004623413",46.6180000305176,14.0502004623413,2,"ARBÖ;ÖAMTC","INFT-ASYGC4;1209852","Turm<U+00F6>l Quick;Turm<U+00F6>l Quick"
"46.6198997497559,14.2825002670288",46.6198997497559,14.2825002670288,1,"ARBÖ","INFT-CE3HQP","eni"
"46.6204986572266,14.2686996459961",46.6204986572266,14.2686996459961,1,"ARBÖ","INFT-AJJKRH","AVANTI - Klagenfurt Kohldorferstra<U+00DF>e 101"
"46.6206016540527,14.3042001724243",46.6206016540527,14.3042001724243,2,"ARBÖ;ÖAMTC","INFT-AK3KDA;1160073","Shell Austria;Shell"
"46.6217994689941,14.4489002227783",46.6217994689941,14.4489002227783,1,"ARBÖ","INFT-AJKHQJ","Lagerhaus"
"46.6230010986328,14.3207998275757",46.6230010986328,14.3207998275757,1,"ARBÖ","INFT-AJML7A","Lagerhaus"
"46.6232986450195,14.2838001251221",46.6232986450195,14.2838001251221,2,"ARBÖ;ÖAMTC","INFT-B2S838;1000069","Shell Austria;Shell"
"46.6236000061035,13.8436002731323",46.6236000061035,13.8436002731323,1,"ARBÖ","INFT-CWBREN","Wings Lind Villach"
"46.6236991882324,13.8436002731323",46.6236991882324,13.8436002731323,2,"ARBÖ;ÖAMTC","INFT-D8RJW9;1213976","Rumpold;Rumpold"
"46.6242980957031,13.9359998703003",46.6242980957031,13.9359998703003,1,"ARBÖ","INFT-AJJL55","Lagerhaus"
"46.6245994567871,14.6333999633789",46.6245994567871,14.6333999633789,1,"ARBÖ","INFT-AJJLBT","Krois Diskont Clever Tanken"
"46.6251983642578,13.8218002319336",46.6251983642578,13.8218002319336,2,"ARBÖ;ÖAMTC","INFT-BYBJGD;1210751","Turm<U+00F6>l Quick;Turm<U+00F6>l Quick"
