"Feature","Importance"
"month_cos",771.166312569472
"longitude_centered",346.959344275466
"latitude_centered",312.63421602589
"hour_sin",290.153579086734
"month_sin",162.961665749454
"hour_cos",125.918699878642
"brand_category",78.9928263233561
"nearby_stations_1km_norm",78.6160602795174
"dow_cos",56.7215157017246
"dow_sin",52.5369699106355
