"Model","Trees","RMSE","Training_Time_Minutes","Improvement"
"Baseline",100,0.0476082696924861,0.3919411500295,0
"Optimized",500,0.0472526530356594,1.63341399828593,0.746964044532051
"Final Tuned",500,0.0466291709778056,2.92907809813817,2.05657277822705
