"Model","RMSE","MAE","R_squared","Training_Time_Seconds"
"Linear Regression",0.0587057759279239,0.0448923585853199,0.37071076202428,0.307567119598389
"Random Forest",0.0475233107645758,0.0344123123005436,0.587615800779771,20.7184669971466
